C:\Python27\python.exe J:/github_repos/HDAnalysis/HDAnalysis.py
ESubject                Freq  Process                  Path                                             Method    Subject
277-261-431-71-122         1  kube-apiserver           /%UUID%/clusterroles/%NAME%                      GET       ['/pkg/storage/etcd.(*etcdHelper).bodyAndExtractObj, 277', '/pkg/storage/etcd.(*etcdHelper).Get, 261', '/pkg/registry/generic/registry.(*Store).Get, 431', '/pkg/registry/clusterrole.(*storage).GetClusterRole, 71', '/pkg/apis/rbac/validation.(*DefaultRuleResolver).GetRoleReferenceRules, 122', '/pkg/apis/rbac/validation.(*DefaultRuleResolver).GetEffectivePolicyRules, 148', '/pkg/apis/rbac/validation.ConfirmNoEscalation, 47', '/plugin/pkg/auth/authorizer/rbac.(*RBACAuthorizer).Authorize, 61', '/pkg/apiserver.WithAuthorizationCheck.func1, 488', 'net/http.HandlerFunc.ServeHTTP, 1618', '/pkg/apiserver.WithImpersonation.func1, 420', 'net/http.HandlerFunc.ServeHTTP, 1618', '/pkg/auth/handlers.NewRequestAuthenticator.func1, 66', 'net/http.HandlerFunc.ServeHTTP, 1618', '/pkg/api.NewRequestContextFilter.func1, 101', 'net/http.HandlerFunc.ServeHTTP, 1618', '/pkg/api.NewRequestContextFilter.func1, 101', 'net/http.HandlerFunc.ServeHTTP, 1618', '/test/integration/framework.startMasterOrDie.func1, 132', 'net/http.HandlerFunc.ServeHTTP, 1618', 'net/http.serverHandler.ServeHTTP, 2081', 'net/http.(*conn).serve, 1472', 'runtime.goexit, 1998']
277-261-431-71-122         6  kube-apiserver           /%UUID%/clusterroles/%NAME%                      GET       ['/pkg/storage/etcd.(*etcdHelper).bodyAndExtractObj, 277', '/pkg/storage/etcd.(*etcdHelper).Get, 261', '/pkg/registry/generic/registry.(*Store).Get, 431', '/pkg/registry/clusterrole.(*storage).GetClusterRole, 71', '/pkg/apis/rbac/validation.(*DefaultRuleResolver).GetRoleReferenceRules, 122', '/pkg/apis/rbac/validation.(*DefaultRuleResolver).GetEffectivePolicyRules, 148', '/pkg/apis/rbac/validation.ConfirmNoEscalation, 56', '/plugin/pkg/auth/authorizer/rbac.(*RBACAuthorizer).Authorize, 61', '/pkg/apiserver.WithAuthorizationCheck.func1, 488', 'net/http.HandlerFunc.ServeHTTP, 1618', '/pkg/apiserver.WithImpersonation.func1, 420', 'net/http.HandlerFunc.ServeHTTP, 1618', '/pkg/auth/handlers.NewRequestAuthenticator.func1, 66', 'net/http.HandlerFunc.ServeHTTP, 1618', '/pkg/api.NewRequestContextFilter.func1, 101', 'net/http.HandlerFunc.ServeHTTP, 1618', '/pkg/api.NewRequestContextFilter.func1, 101', 'net/http.HandlerFunc.ServeHTTP, 1618', '/test/integration/framework.startMasterOrDie.func1, 132', 'net/http.HandlerFunc.ServeHTTP, 1618', 'net/http.serverHandler.ServeHTTP, 2081', 'net/http.(*conn).serve, 1472', 'runtime.goexit, 1998']
277-261-431-71-122         4  kube-apiserver           /%UUID%/clusterroles/%NAME%                      GET       ['/pkg/storage/etcd.(*etcdHelper).bodyAndExtractObj, 277', '/pkg/storage/etcd.(*etcdHelper).Get, 261', '/pkg/registry/generic/registry.(*Store).Get, 431', '/pkg/registry/clusterrole.(*storage).GetClusterRole, 71', '/pkg/apis/rbac/validation.(*DefaultRuleResolver).GetRoleReferenceRules, 122', '/pkg/apis/rbac/validation.(*DefaultRuleResolver).GetEffectivePolicyRules, 167', '/pkg/apis/rbac/validation.ConfirmNoEscalation, 47', '/plugin/pkg/auth/authorizer/rbac.(*RBACAuthorizer).Authorize, 61', '/pkg/apiserver.WithAuthorizationCheck.func1, 488', 'net/http.HandlerFunc.ServeHTTP, 1618', '/pkg/apiserver.WithImpersonation.func1, 420', 'net/http.HandlerFunc.ServeHTTP, 1618', '/pkg/auth/handlers.NewRequestAuthenticator.func1, 66', 'net/http.HandlerFunc.ServeHTTP, 1618', '/pkg/api.NewRequestContextFilter.func1, 101', 'net/http.HandlerFunc.ServeHTTP, 1618', '/pkg/api.NewRequestContextFilter.func1, 101', 'net/http.HandlerFunc.ServeHTTP, 1618', '/test/integration/framework.startMasterOrDie.func1, 132', 'net/http.HandlerFunc.ServeHTTP, 1618', 'net/http.serverHandler.ServeHTTP, 2081', 'net/http.(*conn).serve, 1472', 'runtime.goexit, 1998']
277-470-38-388-62          3  kube-apiserver           /%UUID%/clusterroles/%NAME%                      GET       ['/pkg/storage/etcd.(*etcdHelper).bodyAndExtractObj, 277', '/pkg/storage/etcd.(*etcdHelper).GuaranteedUpdate, 470', '/pkg/storage.(*Cacher).GuaranteedUpdate, 38', '/pkg/registry/generic/registry.(*Store).Update, 388', '/pkg/registry/clusterrole/policybased.(*Storage).Update, 62', '/pkg/apiserver.UpdateResource.func1.2, 717', '/pkg/apiserver.finishRequest.func1, 953', 'runtime.goexit, 1998']
527-38-388-62-717          3  kube-apiserver           /%UUID%/clusterroles/%NAME%                      PUT       ['/pkg/storage/etcd.(*etcdHelper).GuaranteedUpdate, 527', '/pkg/storage.(*Cacher).GuaranteedUpdate, 38', '/pkg/registry/generic/registry.(*Store).Update, 388', '/pkg/registry/clusterrole/policybased.(*Storage).Update, 62', '/pkg/apiserver.UpdateResource.func1.2, 717', '/pkg/apiserver.finishRequest.func1, 953', 'runtime.goexit, 1998']
441-416-474-262-241       67  util                     /%UUID%/configmaps                               GET       ['/pkg/storage/etcd.(*etcdHelper).listEtcdNode, 441', '/pkg/storage/etcd.(*etcdHelper).List, 416', '/pkg/storage.(*cacherListerWatcher).List, 474', '/pkg/client/cache.(*Reflector).ListAndWatch, 262', '/pkg/storage.(*Cacher).startCaching, 241', '/pkg/storage.NewCacherFromConfig.func1.1, 210', '/pkg/util/wait.JitterUntil.func1, 86', '/pkg/util/wait.JitterUntil, 87', '/pkg/util/wait.Until, 49', '/pkg/storage.NewCacherFromConfig.func1, 213', 'runtime.goexit, 1998']
206-181-1998              72  etcdWatch                /%UUID%/configmaps                               GET       ['/pkg/storage/etcd.(*etcdWatcher).etcdWatch.func2, 206', '/pkg/storage/etcd.(*etcdWatcher).etcdWatch, 181', 'runtime.goexit, 1998']
209-35-671-799-953         1  kube-apiserver           /%UUID%/configmaps/%NAME%                        DELETE    ['/pkg/storage/etcd.(*etcdHelper).Delete, 209', '/pkg/storage.(*Cacher).Delete, 35', '/pkg/registry/generic/registry.(*Store).Delete, 671', '/pkg/apiserver.DeleteResource.func1.1, 799', '/pkg/apiserver.finishRequest.func1, 953', 'runtime.goexit, 1998']
277-194-35-671-799         1  kube-apiserver           /%UUID%/configmaps/%NAME%                        GET       ['/pkg/storage/etcd.(*etcdHelper).bodyAndExtractObj, 277', '/pkg/storage/etcd.(*etcdHelper).Delete, 194', '/pkg/storage.(*Cacher).Delete, 35', '/pkg/registry/generic/registry.(*Store).Delete, 671', '/pkg/apiserver.DeleteResource.func1.1, 799', '/pkg/apiserver.finishRequest.func1, 953', 'runtime.goexit, 1998']
277-261-36-623-799         1  kube-apiserver           /%UUID%/configmaps/%NAME%                        GET       ['/pkg/storage/etcd.(*etcdHelper).bodyAndExtractObj, 277', '/pkg/storage/etcd.(*etcdHelper).Get, 261', '/pkg/storage.(*Cacher).Get, 36', '/pkg/registry/generic/registry.(*Store).Delete, 623', '/pkg/apiserver.DeleteResource.func1.1, 799', '/pkg/apiserver.finishRequest.func1, 953', 'runtime.goexit, 1998']
138-34-227-440-403         1  kube-apiserver           /%UUID%/configmaps/%NAME%                        PUT       ['/pkg/storage/etcd.(*etcdHelper).Create, 138', '/pkg/storage.(*Cacher).Create, 34', '/pkg/registry/generic/registry.(*Store).Create, 227', '/pkg/apiserver.(*namedCreaterAdapter).Create, 440', '/pkg/apiserver.createHandler.func1.1, 403', '/pkg/apiserver.finishRequest.func1, 953', 'runtime.goexit, 1998']
441-416-293-205-187        1  kube-apiserver           /%UUID%/controllers                              GET       ['/pkg/storage/etcd.(*etcdHelper).listEtcdNode, 441', '/pkg/storage/etcd.(*etcdHelper).List, 416', '/pkg/storage.(*Cacher).List, 293', '/pkg/registry/generic/registry.(*Store).ListPredicate, 205', '/pkg/registry/generic/registry.(*Store).List, 187', '/pkg/apiserver.ListResource.func1, 316', '/pkg/apiserver/metrics.InstrumentRouteFunc.func1, 101', '/vendor/github.com/emicklei/go-restful.(*Container).dispatch, 272', '/vendor/github.com/emicklei/go-restful.(*Container).(/vendor/github.com/emicklei/go-restful.dispatch)-fm, 120', 'net/http.HandlerFunc.ServeHTTP, 1618', 'net/http.(*ServeMux).ServeHTTP, 1910', '/pkg/apiserver.WithAuthorizationCheck.func1, 498', 'net/http.HandlerFunc.ServeHTTP, 1618', '/pkg/apiserver.WithImpersonation.func1, 420', 'net/http.HandlerFunc.ServeHTTP, 1618', '/pkg/api.NewRequestContextFilter.func1, 101', 'net/http.HandlerFunc.ServeHTTP, 1618', '/test/integration/framework.startMasterOrDie.func1, 132', 'net/http.HandlerFunc.ServeHTTP, 1618', 'net/http.serverHandler.ServeHTTP, 2081', 'net/http.(*conn).serve, 1472', 'runtime.goexit, 1998']
441-416-293-205-187        2  kube-apiserver           /%UUID%/controllers                              GET       ['/pkg/storage/etcd.(*etcdHelper).listEtcdNode, 441', '/pkg/storage/etcd.(*etcdHelper).List, 416', '/pkg/storage.(*Cacher).List, 293', '/pkg/registry/generic/registry.(*Store).ListPredicate, 205', '/pkg/registry/generic/registry.(*Store).List, 187', '/pkg/apiserver.ListResource.func1, 316', '/pkg/apiserver/metrics.InstrumentRouteFunc.func1, 101', '/vendor/github.com/emicklei/go-restful.(*Container).dispatch, 272', '/vendor/github.com/emicklei/go-restful.(*Container).(/vendor/github.com/emicklei/go-restful.dispatch)-fm, 120', 'net/http.HandlerFunc.ServeHTTP, 1618', 'net/http.(*ServeMux).ServeHTTP, 1910', '/pkg/apiserver.WithAuthorizationCheck.func1, 498', 'net/http.HandlerFunc.ServeHTTP, 1618', '/pkg/apiserver.WithImpersonation.func1, 420', 'net/http.HandlerFunc.ServeHTTP, 1618', '/pkg/auth/handlers.NewRequestAuthenticator.func1, 66', 'net/http.HandlerFunc.ServeHTTP, 1618', '/pkg/api.NewRequestContextFilter.func1, 101', 'net/http.HandlerFunc.ServeHTTP, 1618', '/pkg/api.NewRequestContextFilter.func1, 101', 'net/http.HandlerFunc.ServeHTTP, 1618', '/test/integration/framework.startMasterOrDie.func1, 132', 'net/http.HandlerFunc.ServeHTTP, 1618', 'net/http.serverHandler.ServeHTTP, 2081', 'net/http.(*conn).serve, 1472', 'runtime.goexit, 1998']
441-416-293-205-187        2  kube-apiserver           /%UUID%/controllers                              GET       ['/pkg/storage/etcd.(*etcdHelper).listEtcdNode, 441', '/pkg/storage/etcd.(*etcdHelper).List, 416', '/pkg/storage.(*Cacher).List, 293', '/pkg/registry/generic/registry.(*Store).ListPredicate, 205', '/pkg/registry/generic/registry.(*Store).List, 187', '/pkg/apiserver.ListResource.func1, 316', '/pkg/apiserver/metrics.InstrumentRouteFunc.func1, 101', '/vendor/github.com/emicklei/go-restful.(*Container).dispatch, 272', '/vendor/github.com/emicklei/go-restful.(*Container).(/vendor/github.com/emicklei/go-restful.dispatch)-fm, 120', 'net/http.HandlerFunc.ServeHTTP, 1618', 'net/http.(*ServeMux).ServeHTTP, 1910', '/pkg/apiserver.WithAuthorizationCheck.func1, 498', 'net/http.HandlerFunc.ServeHTTP, 1618', '/pkg/apiserver.WithImpersonation.func1, 481', 'net/http.HandlerFunc.ServeHTTP, 1618', '/pkg/auth/handlers.NewRequestAuthenticator.func1, 66', 'net/http.HandlerFunc.ServeHTTP, 1618', '/pkg/api.NewRequestContextFilter.func1, 101', 'net/http.HandlerFunc.ServeHTTP, 1618', '/pkg/api.NewRequestContextFilter.func1, 101', 'net/http.HandlerFunc.ServeHTTP, 1618', '/test/integration/framework.startMasterOrDie.func1, 132', 'net/http.HandlerFunc.ServeHTTP, 1618', 'net/http.serverHandler.ServeHTTP, 2081', 'net/http.(*conn).serve, 1472', 'runtime.goexit, 1998']
